,Cleaned GPT-35 Conversation-Improved CV
66,"Experience:- Self-made business owner, managing a team of 7 employees for postal delivery services- Volunteering during Russian war against Ukraine, including fundraising for the UA army, production of trench candles, providing aid for displaced people, sending postcards to global leaders, and utilizing social networks for international support- Founder of 2 ""Meest"" postal-logistic departments in Netishyn and Slavuta- Co-founder of ""Eco-Farm"" in Netishyn- Leadership role during Ukraine's Presidential, Parliamentary, and local elections in Netishyn- Organized charity project between Finland and Ukraine, providing 15 tons of medical equipment for individuals with limited abilities and hospitalsEducation:- Bachelor's degree in Environmental Engineering from Tampere University of Applied Sciences, Finland (2011-2015)- Completed studies in Spatial Planning and Environmental Management at Dublin Institute of Technology, Ireland through an Erasmus exchange in 2013Skills:- Project management expertise- Willingness to learn and develop in the IT field- Open to relocation for opportunitiesLocation:- Currently based in Netishyn with the ability to relocate to another city"
67,"Ensured open communication with the development team, management, users and other stakeholders to address their needs and wishes in the project. Implemented effective crisis resolution measures that led to the project being restored in record time.VR WorkplaceLed the creation of a virtual office for a global communications holding uniting employees worldwide, fostering innovative communication and collaboration for distributed teams. Implemented a project tracking and control system to enhance project status understanding and prevent delays and budget overruns. Developed and implemented a project performance evaluation system for timely issue identification and corrections. Achieved high customer and stakeholder satisfaction through superior project execution. Identified and managed project risks to maintain performance indicators and prevent issues. Automated monitoring and reporting processes, reducing reporting time by 30% and increasing data accuracy."
68,"Social Marketing Manager January 2023 - Present- Developed and executed creative social media campaigns resulting in a 30% increase in event registrations and participation- Implemented a customer support system on social media, reducing response time to customer inquiries- Created and curated engaging social media content- Analyzed social media data to inform content and campaign decisions- Managed social media campaigns and built relationships with influencers- Monitored and moderated community conversations, addressing inquiries and concerns in a timely manner- Stayed up-to-date with social media trends and best practicesHead Of Branch at a BankSeptember 2015 - December 2022- Proactively addressed and resolved customer issues resulting in a 90% customer satisfaction rate- Improved retention of micro-business clients- Organized the working flow of the branch to ensure operational efficiency- Maintained compliance with legal and regulatory requirements- Consulted with clients of micro-businesses, providing guidance and supportProject Manager Expectations/Strengths:- Not heavily involved in programming or software development- Strong leadership skills - Excellent analytical and strategic abilities- Effective communication and interpersonal skills- Organizational skills to manage multiple tasks and responsibilities"
69,"Experience:- Engaged in the creation of a web site – online resource for law consulting:    - Participated in the creation of the web site in cooperation with the team of developers.    - Participated in design making of the web site.    - Participated in the development of the logical structure of the web site performance.    - Administered the clients of the resource.    - Administered the cases which are worked out on the website.- Pro Bono Lab Manager (within Ukrainian Access to Justice School of Practice):    - Responsible for managing the Pro Bono Lab platform, including gathering requests from non-governmental organizations and finding legal support from socially responsible pro bono partners (law and audit business).- Responsible for the creation of the Learning course for social initiatives and NGOs from law and audit business experts:    - Researched the most interesting and desirable topics for social initiatives.    - Engaged experts from law and audit firms.    - Developed the course modules structure.    - Developed test cases.    - Participated in the filming process.    - Administered the first run of students (30 participants).    - Transformed the learning course materials into SCORM-package in order to place the learning course on the Learning Management System."
70,"Professional ExperienceFounder and CEO, IT Company (2013-2021)- Successfully led my own IT company for 8 years with a team of up to 15 employees- Managed teams of up to 3 working on various projects- Oversaw a team of 1 manager, 5 full-time developers, and 1 product project- Practiced and implemented Scrum and other agile methodologies - Utilized task tracking systems such as Asana, Trello, and GitHub- Experienced in versioning systems like Git- Worked with WebGL, three.js, babylon.js- Proficient in PHP with 3 years of experience- Skilled in project time and budget estimation- Ability to lead and motivate teams, set goals, and develop plans collaboratively- Proficient in leading Scrum meetings and coaching team members in Scrum practices- Capable of searching for technical solutions in complex situations during project workflowSkills- Team leadership and motivation- Agile methodologies (Scrum, Kanban)- Task tracking systems (Asana, Trello, GitHub)- Version control systems (Git)- Programming languages: PHP, JavaScript- Knowledge of WebGL, three.js, babylon.js- Project estimation and planning- Technical problem-solvingEducation- Bachelor's Degree in Computer Science (Year)- Certification in Scrum Master (Year)"
71,"Experienced professional with a background in managing people in non-commercial projects, including leadership roles in school, university, and hobbies. Skilled in communication, conflict resolution, and project management. Holds a BSc and MSc in Theoretical Physics and another MSc in Nanoscience with a focus on numerical modeling. Proficient in Waterfall, Agile/Scrum, basics of project management (PERT, GANTT, CPM), Linux, bash, Python, Lua, Git, MS Office, MS Project. Fluent in English, basic proficiency in Finnish and French, ~B1 level German. Additional experience in C++, MySQL, PHP, HTML, CSS, Delphi. Seeking a growth-oriented position with a friendly team that presents challenging tasks requiring intellectual problem-solving skills."
72,"PROJECT MANAGEMENT EXPERIENCE:Project - AProblem - develop a solution for an outsourcing IT company to measure and trade against the client's and development team's satisfaction KPIs in a timely manner.Solution – designed project health check dashboard based on the satisfaction score of key stakeholders.Scope of work:- determined the scope of the project;- devised “12 click flow” of project health check;- designed a project health check dashboard based on the satisfaction score of key stakeholders;- managed tasks of a team of 4 other members;- performed Product Owner role.Project - BProblem – organize the development of special issues and migration from Tilda for the top 3 news agencies.Solution – arranged migration to Ukrainian web constructor and developed the special issues flow.Scope of work:- developed surveys for stakeholders to identify the top 5 must-have features in a new web constructor;- analyzed 30+ web constructors;- integrated best practices into the flow of special issues design process;- reduced the time of special issues design process by 10% with the new flow;- managed tasks of a team of 5 other members.WORK EXPERIENCE:AAL LF “Pragnum”2019-Present- managed high-profile cases with multiple-level stakeholders;- oversaw 7+ cases simultaneously;- successfully closed a tax evasion case totaling 10 million UAH due to lack of corpus delicti;- represented a group of companies in a 2,000,000 USD dispute against the Deposit Guarantee Fund.AAL “PRAVOTA”April 2016 – January 2019- efficiently represented the client in a wealth tax (transport tax) dispute, saving the client 5,000 USD;- successfully overruled a 10,000 CHF fine in a dispute against the National Wrestling Association."
73,"In my previous role as a Quality Manager at an Aviation Club, I revamped and rewrote operational manuals, ensuring compliance with industry standards and introducing streamlined processes. This led to improved safety measures and enhanced operational efficiency. I spearheaded a project in alternative medicine, offering innovative treatments for holistic wellness solutions. I organized three successful master classes in Ukrainian cuisine in Germany, showcasing culinary traditions and fostering intercultural connections. As a Quality Manager at an Aviation Club, I ensured compliance with safety standards and regulations, developed quality control processes, and conducted inspections and audits to improve operational efficiency and prioritize safety. I have a strong track record in Human Resources and Business Creation, successfully crafting business plans, obtaining licenses and permits, and implementing branding and marketing strategies. In my role as an Assistant in a Marketing Company, I conducted market research, analyzed consumer behavior, and implemented dynamic marketing strategies across digital platforms and physical events. My diverse experiences have equipped me with adaptable, resourceful, and detail-oriented skills that can be valuable in various roles. I am dedicated to delivering excellence in quality control, business growth, and marketing campaigns."
74,"Worked as a customer excellence consultant in an international environment (embassy), I was responsible for negotiating, creating and implementing successful sales strategies, managing exams registration, and fostering strong relationships between teams. My role required effective communication with clients and I also worked on developing my skills in translating and proofreading. Additionally, I was tasked with creating and editing advertising materials for the company’s website and I successfully developed and implemented a Facebook chat-bot project in collaboration with the Marketing team. This project helped improve the customer journey and reduce the number of typical requests requiring manual resolution.Currently seeking a position in a friendly and creative team where I can further develop my skills in Project Management, learn new tactics and tools, and establish a proactive relationship with clients to contribute to company growth."
75,"INFORMAL EDUCATION COURSES AND CERTIFICATIONS- Digital Law (BCA Company)- The Project Management Course: Beginner to Project Manager (UDEMY)- Agile Fundamentals: Including Scrum and Kanban (UDEMY)- Business Fundamentals: Corporate Strategy (UDEMY)- Business Fundamentals: Marketing Strategy (UDEMY)- Basics of Team and Project Management in IT (Prometheus)- Basics of Project Management (Prometheus)- IT Product from Scratch: Where to Start and How to Develop? (Prometheus)- Modern Leadership (The Art of Breaking the Rules) (Prometheus)- HR Career: Roles, Competencies and Challenges (Prometheus)In progress:- Professional Certificate in Google Project Management (COURSERA)WORK EXPERIENCE:Faculty of Cybersecurity and Informational Technologies Dean's Office Manager- Worked with documentation and personal data- Creation of various types of documentation (agreements, NDAs, financial documents)- Communication with stakeholders and negotiation with partners- HR management- Event planning and organization- Organization of workflow- Ability to handle multiple projects and meet deadlinesIT-Academy ""STEP""IT-Law TeacherHOSTING.UALawyer- HR management- Personal data management- Legal consulting- Knowledge of personal data and intellectual property law- Preparation of legal documentation"
76,"Professional Experience:Key Account Manager- Connected 9 new customers, including chain HoReCa and retail, during the year- Led custom projects for ATB group of companies, the chain of restaurants ""Puzata Khata"", ""Mafia""- Developed and launched ""Daily Pizza"" departments from scratch, with 6 points opened- Created and implemented KPIs for employees of ""Daily Pizza"" and retail staff- Optimized and centralized assortment- Developed and implemented the ""Value proposition"" of the ""Culinary"" direction- Created planograms from scratch- Achieved a 28% increase in LFL category maintenanceAssistant Procurement Manager to Category Manager- Worked in commercial procurement of the FMCG sector- Managed categories and implemented projectsKey Responsibilities:- Finding and connecting new customers- Supporting developments for B2BObjective:Seeking to transition the experience from the FMCG sector into a digital environment to fully utilize my managerial potential."
77,"Worked on a variety of projects that required close cooperation with the team. Part of a team that searched and analyzed projects on the web3 market, setting requirements for the technical team for project implementation. Experienced in strategic planning for project development in foreign markets. Previous role as a revenue manager. Seeking opportunities for professional growth in project management or business analysis. Eager to contribute to company success by quickly learning relevant tools and skills. Passionate about creating global impact and improving people's lives through effective communication and process improvement."
78,"Education:- Completed Project Manager course at Hillel with honors, April 2019 - June 2019Work Experience:1. Kyivstar (November 2018 - February 2019)First-line support operator: provided customer service for existing clients, focusing on PrePaid services2. Agribusiness (September 2013 - June 2017)Sales Manager: Responsible for selling grain batches and managing the rental of land and agricultural machinery3. Polygon Ltd. (Kyivstar main contractor) (January 2013 - July 2013)Sales Manager: Conducted cold calling to generate sales leads4. Telekomstroy Ltd. (October 2012 - December 2012)Sales: Engaged in cold calling to drive salesRelated Additional Education:- Ongoing English courses at LinguaCats since April 2019- Completed IT Sales Manager position at Look At Pro from January 2018 - March 2018Skills:- Proficient in software development models, methodologies, frameworks- Experienced in Stakeholders Management and Risk Management- Skilled in Requirements Gathering and Estimation Techniques- Knowledgeable in Project Artifacts and PM tools such as Trello and JiraObjective:Seeking an opportunity to transition into a Project Manager role, open to intern, trainee, or junior positions. With a background in Sales Management, I am confident in my ability to excel in communication and coordination within a project management framework."
79,"Projects (IT / LEAN / Staff development / Supply)1) Successfully proposed and implemented two IT projects: ""Bill of materials process automatization"" and ""MRP in SAP"", resulting in annual savings of $34K.2) Introduced and executed three supply projects, including ""ABC and XYZ methodology for inventory stocks analysis"", ""New supplier implementation"", and ""Implementation of a new glue using scheme"", leading to annual savings of $163K.3) Implemented three IT projects and seven process improvements, such as ""SAP GUI Automation"" and ""Automation of data People cycle consolidation"", resulting in optimization by 2 full-time equivalents.4) Managed a students' probation scheme, achieving a success rate of 72.5) Developed and delivered trainings to over 600 individuals.Work Experience:Seven years in the FMCG industry.- Proficient in web development processes.- Familiar with HTML/CSS/JS.- Experienced in Project Management processes.- Skilled in creating technical specifications and project documentation.- Competent in risk-management and crisis-management.- Proficient in people management and negotiating with suppliers and subcontractors for long-term partnerships.- Experienced in budget and timing planning, implementing cost reduction strategies.- Proficient in creating and overseeing business processes and documentation.- Experienced in remote recruitment.- Involved in supporting staff performance evaluations and personal development.- Skilled in preparing client presentations and staff training materials.- Experienced in business correspondence.Languages: Proficient in Polish (Elementary level).Looking for:- Exciting and challenging projects.- Opportunity to work in a multinational environment.- Potential for personal and professional growth.- Stability of a permanent position.- Friendly work atmosphere."
80,"Work experience:PR Team Manager - Startup Incubator- Strategic planning- Operational management- Organization and moderation of brainstorming, meetings- Communication with regular partners- Planning activities from start to finish according to goals and target audience- Delegating tasks, tracking results- Monitoring the timely implementation of tasksProject Manager - Hack-A-Train- Booking and branding of the train- Management of local marketing, set of applications- Provision of catering- Organization of logistics- Provision of stationery, printed materials- Organization and control of all processes during the 30-hour tripProject Manager - Hack For Locals- Management of local marketing, set of applications- Involvement of companies and government agencies in the event- Finding and communicating with partners- Finding prizes for winners- Translation of event texts and marketing messages from English to Ukrainian- On-site assistance during the event"
81,"Project Coordinator Ukraine & Eurasia• Full coordination and control of Global Point of Sale project implementation in Ukraine & Eurasia;• Coordinating 6 specialists across the region;• Managing the process of budgeting and coordination of Point of Sale Materials across markets (Ukraine & Eurasia) in alignment with all Categories (Marketing Leaders);• Preparation of briefs and communication with agencies for production and logistics of trade equipment and Point of Sales Materials;• Control of the procurement process for Point of Sales Materials and trade equipment at all stages: briefing, budgeting, production, warehousing, and placement in retail;• Coordination of initiatives and interventions towards Global KPIs;• Support of effective implementation of Global goals and priorities in cooperation with 3rd parties;• Leading communication and timing between Marketing and Trade marketing to deliver all materials for New Product Development point of sale materials & trade equipment production;• Verification and approval of cost estimation for design services for Ukraine and Eurasia markets;• Verification and approval of documents and payments between company and 3rd party companies.Looking forward to developing my project manager skills in IT and being a part of a great team."
82,"- Awarded best sales of the day multiple times- Managed heavy-load transportation project- Received numerous positive reviews from customers- Consistently met sales goals for 5 consecutive years- Currently hold a senior position in Autotransport Company- Responsible for overseeing company's rating board due to strong problem-solving skillsWorked for over 5 years at Autotransport Company in the US, with a local office in Dnipro. Managed transportation projects from inception to completion, ensuring client and driver needs were met. Utilized CRM, Trello, DocuSign, Confluence, and Jira in daily operations.Completed PM courses at Hillel IT School with high marks to transition into the IT sector. Dedicated to completing tasks, providing excellent service, and meeting deadlines. Quick learner and eager to take on new challenges."
83,"WorleySenior Project Engineer03/2021-05/2022Responsibilities:• Managing project deliverables and interfaces to ensure the project is executed in a safe, efficient, cost effective and timely manner• Project communications and identifying key issues requiring action/response• Review and finalization of project procedures in consultation with key project personnel• Responsible for ensuring the project team is contractually aware of their respective responsibilities, scopes of work and deliverables• Responsible for liaising with the Cost Controller and Planner to provide a weekly analysis of project statusAchievements:• Construction & Commissioning of New Laboratory systems (Public Address General Alarm, Access Control System, Close Circuit Television), fire alarm, firefighting, HVAC, power distribution• 12 server cabinets installation in Data Centre for information replication• Risk elimination replacing laboratory on safe areaUBOCProject Engineering Lead09/2020-03/2021Responsibilities:• Monitor the overall progress of engineering work from engineering contractors and address problems areas as they arise• Management of engineering interfaces and transfer of information between the engineering contractors• Oversight of quality of the engineering work from the contractor in accordance with international standardsAchievements:• Establishment of engineering processes & procedures across departments: PSCM, Quality Team, Construction & Commissioning• Development and integration of Engineering Execution PlanBritish PetroleumProject Lead09/2009-06/2020Responsibilities:• Fulfil the requirements defined in Project Procedure and associated guides and templates• Provide input to establish the region annual activity plan• Manage budgets for Project & Modification expenditure based on assigned activity set• Oversee the assigned contractor’s resources to deliver the assigned projects or activities• Performance manage delivery by contractors by using global benchmark, metrics and KPIs• Manage internal stakeholders and interfacesAchievements:• Achieved $750M revenue increasing efficiency of the plant• Increased gas production• Elimination of safety and business risks, production increase gaining $.2.5M per annum• Delivery of various oil & gas production optimizations projects"
84,"Positions:- Project Manager at IT HB (Link - http://www.it-hb.org) for 6 months- IT Business Analyst at Promocore (Information Technology Business Analyst) (Link - http://promoco.re) for 4 months- Network and System Administrator at Vinnitsіa National Technical University (Designed and developed a corporate network at Vinnitsіa National Technical University in the educational building of faculty of computer systems and optical engineering departments. Manual assembly of completed and settings. Used VLAN, WiFi, WPA2, ACL, WDS, CAP manager, Squid Server, Radius Server, Teamviewer Server, Local connections to computers with video surveillance systems.) link - vntu.edu.ua for 3 years and 5 monthsProjects:- ChiliPizza (Design, layout, domain purchased, DNS configured, filled with information, integrated JS site menu, 3D tour, embodies all customer needs. Without SEO and SMM.)link - http://www.chilipizza.vn.ua- Joht & Alex Transport Company -- in process (Website development, consulting, business analytics, branding, SEO, SMM)link - http://www.ja-bus.com- IROOM link - http://iroom.ua- EcoCITIZENS (EcoCITIZEN - the project is to design and develop information systems for environmental monitoring using microcontrollers Arduino and site. In this project I developed ASP.NET web site using MVC, designed and used a database msSQL and developed a sketch for arduino web server.)- Site of Department of Business Economics and Production Management VNTU link - epvm.vntu.edu.ua (Developed Front-End, Back-End and MySQL database for the project. Used last version of CMS WORDPRESS with custom theme. Configure web server and FTP server.)- Development of the system management and optimization of solar collector (Developed system for managing solar collectors in automatic mode with the ability to connect to the system ""Smart home heating."")- Development of intelligent home heating system (optimize building heating systems with alternative energy sources)Skills:- Lifecycle software development (SDLC), Agile, Scrum- Commercial proposals, project plan development, project management and supervision, integrated project change control, project closure- Experience with tools for effective work: Trello, Slack, Asana, Worksection, MS Project, Mind-maps, MS Visio- Project scope management, project time management, project cost management, quality management, people management, communication management, risk management planning, risk identification, change management, product delivery management planning- UI/UX work: usability concepts, guideline adherence, website and platform development for various projects (e-commerce, corporate, forum), CMS and framework selection recommendations for website creation, mobile app creation specifics, programming language overview- SEO basics, SMM basics- Teamwork, goal-oriented company, office environment, gym membership, result-oriented team, additional screen and flipchart with marker."
85,"Multi-skilled individual with a background in project management, healthcare, education, and public relations. Possess strong communication and responsibility skills, demonstrated through working with diverse populations and resolving conflicts effectively. Experienced in teaching, time management, and creating engaging learning environments. Skilled in public relations, leadership, and team management, with a track record of organizing and speaking at mass events. Highly goal-oriented and quick learner with three higher educations and a continuous drive for self-improvement.Education:- IT Project Management Course at A-level Ukraine (2022): Successfully defended a project on e-commerce website development planning.- IT Project Management Course at ITEA (2022): Completed homework on planning a mobile application project for the university.- Kharkiv National Medical University: Assistant of Department of Internal Medicine №1 (2018-...): Responsible for teaching foreign students online in English, lesson planning, and e-course development.- Master's Degree in Public Management and Administration.Experience:- Physician-Therapist at Kharkiv City Hospital №27 (2016-2018): Diagnosed and treated internal diseases, assisted in healthcare organization.- Youth Council Head at Regional Healthcare Trade Union (2016-...): Implemented youth policies and organized various events.- Head of Volunteering at Student Council of KNMU (2013-2016): Managed volunteer projects and implemented project management skills.- Copywriter at Webline Promotion (2017-2019): Wrote medical articles in accordance with technical specifications.- Copywriter, Editor, Head of Medical Department at JDI Studio (2020-2021): Managed communication and quality of work.- Receptionist-Administrator at Children's Medical Center ""Neboleika"" (2013-2017): Managed expectations, appointments, schedules, and conflicts.With a diverse background and a strong foundation in project management, I am eager to apply my skills and experience to excel as an IT project manager."
86,"2019 - Business Developer of a network of coffee shopsDynamic and skilled coffee shop manager with strong leadership and management abilities. Oversaw all operations of the coffee shop and served as a positive and motivating team leader. Managed and trained employees, handled financial transactions, and implemented successful marketing strategies. Successfully managed a fast-paced coffee shop in a high-traffic area of the city and expanded the network to three stores. Personally closed $1.2M in deals and increased annual revenues by 1500% from $80K to $1.2M in less than 11 months.2021 - Project Manager at an engineering companyUtilized strategic vision to drive organizational goals and effectively implement strategies and tools. Demonstrated exceptional communication and interpersonal skills to convey thoughts, requirements, results, and expectations to team members and stakeholders. Facilitated the creation of a well-trained team equipped to handle risks and threats. Applied a systematic approach to problem-solving and utilized strong negotiation skills to secure significant deals. Managed a team to achieve a common goal and closed transactions totaling $12M in 10 months.Currently pursuing studies in Data Warehouse and Business Intelligence (DWBI) at EPAM."
87,"Self Employed (2021 - until now) || Develop my own service in mobile games (Boosting)Achievements:- Established a solid base of loyal customers, resulting in a passive income streamResponsibilities:- Development of a customer acquisition strategy- Brand management- NegotiationGlaz Systems (2018 - 2021) - Business Development ManagerAchievements:- Built department structure and streamlined processes- Increased the number of loyal customers from 3 to 50- Optimized the service delivery department's operations, resulting in improved NPS and service marginResponsibilities:- B2B sales (IT)- Account-management- Building processes- Development of a partner network- Writing a Software Requirements Specification for the development team, incorporating client's improvement requests for the service- Team management - resolving conflicts within the team, task delegation, conducting meetings- Organizing business trips, participation in industry exhibitions, forums, direct negotiations with representatives of large HORECA businesses- Other administrative functions (payment control, documentation processing, report management)BALANCУЙ TEAM (JUN 2023 - NOW)My project is designed to assist trainees from various backgrounds in gaining work experience within a team.Currently, there are 2 projects in progress:1.DefendUAId: This platform aims to provide assistance to the Armed Forces of Ukraine by offering links to verified funds and Telegram channels that gather donations for support.2.Balancyй: A comprehensive time management application that helps users manage their work-life-study balance. We are currently developing versions for iOS, Android, and the web."
88,"Work Experience:6+ years - Teacher of English and Italian languages4 years - Marketologist (creating marketing descriptions of products in English and Italian and inputting them into the database)1+ year - IT Project ManagerResponsibilities:- Leading 5+ projects simultaneously and providing support- Business analysis, project documentation, managing customer expectations- Experience in Waterfall and Agile practices (Scrum, Kanban)- Practical use of project management tools (Trello, JIRA)- Project planning, milestones, on-time delivery- Resource and workday planning- Tasks prioritization and distribution, monitoring project progress- Advanced English communication skills (oral and written)- Strong leadership, organizational, and stress management abilitiesEducation:- PM School - Project Management Courses (certified)- Coursera Project Management and Philosophy CourseReading Material:- ""The Black Book of the Manager""- ""The White Shelf of the Manager""- ""Scrum and XP: From the Trenches""- Roman Savin - Testing dotcom- Scrum and Kanban - Getting the Maximum- Tom de Marco - Deadline- Carl Sewell - Clients for Life- Maxim Ilyakhov, Lyudmila Sarycheva - Write, ShortenSkills and Attributes:- Excellent team player with a focus on client understanding- Strong emphasis on thorough business analysis- Commitment to honesty and transparency- Competitive salary expectationsNote: This revised resume accurately represents the information provided in the original resume."
89,"EXPERIENCE- IT Project Management & Technical Skills for PMs & BAs certificates- Successfully implemented challenging projects in the past- Excellent negotiation & communication skills- Proficient in sales, planning, time management, organizational work, team management, and customer relationships- 9+ years' experience in project management, including organizing and carrying out international conferences- Managed a team of up to 10 people with experience in goal setting, motivation, coaching, conflict resolution, hiring, retention, and conducting one-to-one meetings- Effective in sales, brand promotion, and customer acquisition- Analytical thinker, solution seeker, and problem solver with a proactive approach- Able to switch professional domains with successful implementation of relevant experience & expertiseSKILLS- Fast-learner, goal-oriented, dedicated, and efficient- Proactive, quick learner with the ability to solve multidirectional tasks- Able to contribute to company development and prosperity- Experienced in working with top level representatives of international companies- Proficient in managing teams, sales, brand promotion, and customer acquisitionCAREER OBJECTIVETo join an IT company that offers a challenging and stimulating environment to leverage my management, communication, and sales skills for professional growth and contributing to the company's success."
90,"Professional Summary:Experienced HR assistant with 2 years of experience in international product and IT consulting companies. Skilled in organisation, time management, talents and resources management, leadership, Jira, Google and Slack account administration, handling engagement meetings and 1 on 1-s, problem solving, conducting trainings, and creating company documents. Proficient in SAP, working with products and partners, and Excel. Recently completed a Project Management learning course where I gained knowledge in technical documentation preparation, Gantt chart creation, Road map and Timeline development, Mock ups creation, planning and prioritising improvement, Scrum and Agile methodology practices, and Kanban methodology. Seeking a challenging position where I can utilize my skills and gain valuable experience for the growth of the company. Certificate available on LinkedIn."
91,"Experienced project manager skilled in team collaboration, problem-solving, and driving profits through attention to detail. Proficient in Agile Methodology (Scrum, Kanban) and adept at creating a positive team environment. Excited to continue career growth and seeking opportunities as a trainee/junior project manager. 5+ years of management experience in retail department store leadership. Fluent in English, able to work effectively in American and European markets. Passionate about understanding human behavior and fostering team success."
92,"Work Experience: 2015-present - Co-founder of three companies specialized in management services and trade- Opened and managed five stores, overseeing a total of 26 employees- Currently managing three stores with 18 employees- Experience in personnel management for over 30 peopleFebruary-November 2011 - TranslatorDecember 2014-September 2015 - Lecturer at Lviv Danylo Halytskyi Medical University, Department of Ukrainian StudiesSeptember 2015-present - Lecturer at Lviv Ivan Franko National UniversityObjective: Seeking a position as a PM Assistant/Business Analyst Assistant in the IT field. Dedicated to utilizing my personal qualities, knowledge, and experience to achieve common goals. Skilled in effective communication with clients and team task delegation. Quick learner with a passion for professional and personal growth through transparent relationships and feedback."
93,"During my time as Administrative Director, I implemented 7 new courses and improved financial performance, resulting in a 22% increase in monthly net income and an 18% increase in signed training contracts per month. I also made changes in management and communication methods that led to a significant increase in positive company reviews on Google. With a background in hospitality and advanced soft skills, I am highly interested in the position of Junior Project Manager to further develop myself as a professional in the IT industry and contribute to the success of the company. Seeking a positive team environment."
94,"Achievement oriented recent graduate with a background in small business management, European and American logistics. Completed a 2-year double-degree master's program in Lithuania and Belgium while working for a large-scale European logistics company for 6 months. Possesses strong intercultural communication skills from living and studying in 5 different countries. Currently seeking opportunities to utilize management and marketing skills in business development.1. Transport Manager Hegelmann Transporte UAB, Kaunas (Transport and Logistics)- Managed trucks' personnel- Oversaw 25-30 trucks daily across Europe- Developed solutions for unexpected issues- Prepared initial documents- Established customer contacts- Negotiated delivery terms2. Afterhours Freight Dispatcher General Freight Experts Inc., Ternopil (Transport and Logistics)- Booked freights in the US- Planned and monitored 4-6 assigned drivers- Cultivated customer relationships- Stayed informed on freight trends- Verified freight brokers' credit ratings to minimize financial risks- Negotiated and drafted commercial contracts for clients3. Store Manager Buchach Coffee Store- Communicated with suppliers- Served coffee and related products- Monitored service standards- Maintained equipment- Conducted staff trainingSeeking a team-oriented workplace where mutual support and collaboration are valued."
95,"Art Director with 5 years of extensive experience in working on various international movies, with an additional 1.5 years as Head of Creative Team in SE film production, a Ukraine-Israeli production company. Skilled at developing budgets, providing timeline specifications, and conducting reports on the progress of projects. Dedicated to finishing all projects within schedule. Offer strong attention to detail, deep passion for film and television, great communication skills, and significant ability to work in team environments.- In charge of the Ukrainian part of PLAN A (Germany, Israel), a WWII drama starring August Diel and Sylvia Hocs, involving the building of destroyed streets of Nurnberg 1945.- Played a key role in the reconstruction of Turkey in the 90s for the movie Check Out (Israel) starring Josh Peis, which was shot in Ukraine.- Contributed to the historical musical Victory (Israel), which involved the reconstruction of Tel-Aviv in the 60s with various musical stages.- Managed an international art department team for the production of Arugam Bay (Israel) shot in Sri Lanka.Participated in the Female Leader Summit organized by the European Leadership Debate Academy for Eastern Europe countries, as well as completed courses in Agile project management, Project Management, Soft Skills, and HR management in 2021 and 2022."
96,"Experienced Event Manager with a strong interest in transitioning to Project Management. Completed online courses in Project Management Foundations, Agile Project Management, and Atlassian Jira. Proficient in Agile methodologies such as Scrum and Kanban. Detail-oriented, multi-tasking professional with strong problem-solving and communication skills. Advanced English language proficiency. Team player with experience in team management. Flexible on financial expectations to gain practical experience. Available for remote opportunities based in Yerevan, Armenia."
97,"Commercial Project Manager with over 15 years of experience in Contracts & Cost Control Management, materials & services supplying with practice to work in engineering projects:I. ROSHEN 2021-2022Confectionery CorporationPosition: Project ManagerEPCM Project Management, new construction of Sodium Hypochlorite production (Kyiv, Ukraine):- Negotiating & drafting Contracts & Agreements- Cost Control & Budget forecasting- Financing & Monthly progress payments responsibilities- Contractual issues, Planning and Reporting managementII. SIEMENS UKRAINE 2020-2021Engineering CompanyPosition: Commercial Project ManagerBidding process providing and contracts drafting- Project performance reporting- IFRS and Local revenue, costs, and sales margin recognition- Signing of Acceptance Protocols, Invoices, and Currency Exchange Certificates- Contractual issues and Risks managementIII. NOSTRUM OIL & GASProject 1: Gas Treatment Unit 1&2 / 2009-2012Project 2: Gas Treatment Unit 3 / 2012-2020Position: Contracts & Cost Control Manager- Contract Management in Supplying and Construction works, Subcontracting & Services Providing at EPCM Project- Bidding process providing and Contracts awarding- Negotiating & drafting FIDIC Contracts & Agreements- Cash flow preparing & Budget planning- Cost Control and Quantity surveying- Estimation and releasing of Site Extra Work Orders- Contractual correspondence and Claims responsibilityReady to become a part of a multinational & multidiscipline project team with corporate values."
98,"Skills:- Proficient in maintaining project documents including brief, assumptions, WBS, project charter, MVP, requirement matrix, risk register, SRS, RACI, and status reports- Experienced in creating prototypes and selecting project methodologies- Skilled in creating BPMN diagrams and working with various project management tools, with ClickUp being a favoriteExperience:Coordinator of Club of ToleranceThe Congress of National Communities of Ukraine | 2017—2019- Facilitated weekly meetings with teenagers to discuss a variety of topics and visit exhibitions- Created illustrations and presentations in Canva and CrelloTrainer of non-formal education at EuroCamp and Sources of ToleranceThe Congress of National Communities of Ukraine | 2017—2020- Conducted training courses for teenagers aged 11-17, fostering teambuilding and team development among participantsEducation:Project Management in IT, Beetroot Academy | 11/2020 - 03/2021Professional Experience:Project Manager in ITEpic Story | April 2021 - Present"
